Person Name,Projekt Name,Projekt Link
Professorin Dr. Anke  Becker,"SP4 - Wechselspiel zwischen Umweltbedingungen, Baumwachstum und eichen-assoziierter Mikrobiome im Boden, der Endo- und Phyllosphäre",/gepris/projekt/520751609
Professorin Dr. Anke  Becker,Polymerisation und Export der sauren Exopolysaccharide Succinoglycan und Galactoglucan von Sinorhizobium meliloti,/gepris/projekt/5095944
Professorin Dr. Anke  Becker,Genetik,/gepris/projekt/5310710
Professorin Dr. Anke  Becker,Regulation of the metabolic adaptation of the phytopathogenic bacteria Xanthomonas campestris pv. campestris and Xanthomonas campestris pv. armoraciae during infection of Arabidopsis thaliana,/gepris/projekt/71821268
Professorin Dr. Anke  Becker,Target identification and functional analysis of regulatory small RNAs in Sinorhizobium meliloti and related alpha-proteobacteria,/gepris/projekt/40014398
Professorin Dr. Anke  Becker,Molecular principles of c-di-GMP signaling cascades in Escherichia coli,/gepris/projekt/198305071
Professorin Dr. Anke  Becker,Molekulare Mechanismen und Vorteile phänotypischer Heterogenität in Sinorhizobium meliloti Populationen,/gepris/projekt/218318381
Professorin Dr. Anke  Becker,Vielfalt und funktionelle Diversität der Signalwege zyklischer Mononukleotide in Sinorhizobium meliloti,/gepris/projekt/314772579
Professorin Dr. Anke  Becker,Echtzeitanalyse des rhizobiellen Lebensstilwechsels von der Rhizosphäre in den Wirtspflanzen-geprägten Kolonisierungsmodus,/gepris/projekt/431352836
Professorin Dr. Anke  Becker,Laborautomationsplattform,/gepris/projekt/230488449
Professorin Dr. Anke  Becker,GRK 2937: Nukleotid Metabolismus in Mikroben,/gepris/projekt/505997786
Professorin Dr. Anke  Becker,Kräfte und molekulare Mechanismen der DNA-Protein-Bindung,/gepris/projekt/5365365
Professorin Dr. Anke  Becker,Gegenläufige Regulation der Oberflächenpolysaccharid-Biosynthese und Motilität in Sinorhizobium meliloti,/gepris/projekt/224619622
Professorin Dr. Anke  Becker,Räumliche Organisation und zeitliche Dynamik alpha-rhizobieller Multi-Replikon-Genome,/gepris/projekt/326552732
Professorin Dr. Anke  Becker,NFDI4Microbiota - Nationale Forschungsdateninfrastruktur für Mikrobiota-Forschung,/gepris/projekt/460129525
Professorin Dr. Anke  Becker,Anpassung von Synechococcus elongatus PCC 7942 an metabolische Stressbedingungen: Analyse des molekularbiologischen Systems eines obligat oxygen-photoautotrophen Prokaryonten,/gepris/projekt/18572122
